fig_club,gesgolf_club,gesgolf_circolo_id,match_score,search_query
Milano,MILANO,26,100,milano
Mirabella,,,,mirabella
Mirasole,MIRASOLE,198,100,mirasole
Modena,MODENA,71,100,modena
Molinetto,MOLINETTO,60,100,molinetto
Molino Pero,MOLINO PERO,483,100,pero
Moncalieri,MONCALIERI,465,100,moncalieri
Monferrato,MONFERRATO,670,100,monferrato
Montebelluna,MONTEBELLUNA,307,100,montebelluna
Montecatini Terme Ssd,MONTECATINI TERME SSD,860,100,montecatini terme
Montecchia Golf,MONTECCHIA GOLF,831,100,montecchia
Montelupo,MONTELUPO,638,100,montelupo
Monteveglio Asd,MONTEVEGLIO ASD,832,100,monteveglio
Monticello,MONTICELLO,27,100,monticello
Mulino Cerrione,MULINO CERRIONE,734,100,mulino cerrione
Musella,MUSELLA,674,100,musella
Napoli,NAPOLI,61,100,napoli
Nazionale,NAZIONALE,601,100,nazionale
Oasi Di Magliano-Fiordalisi,OASI DI MAGLIANO-FIORDALISI,791,100,oasi di
Olgiata,OLGIATA,28,100,olgiata
Padova,PADOVA,29,100,padova
Palermo,PALERMO,769,100,palermo
Panorama Golf,PANORAMA GOLF,765,100,panorama
Paradiso,PARADISO,357,100,paradiso
Parco De' Medici,PARCO DE' MEDICI,112,100,parco de
Parco Firenze,PARCO FIRENZE,300,100,firenze
Parco Roma,PARCO ROMA,783,100,roma
Passiria Merano,PASSIRIA MERANO,689,100,merano
Pavoniere,PAVONIERE,703,100,pavoniere
Perugia,PERUGIA,30,100,perugia
Petersberg,PETERSBERG,97,100,petersberg
Pevero,PEVERO,31,100,pevero
Piandisole 2025,PIANDISOLE 2025,849,100,piandisole 2025
Pinerolo - Pragelato,PINEROLO - PRAGELATO,410,100,pinerolo
Pinetina,PINETINA,20,100,pinetina
Poggio Medici,POGGIO MEDICI,153,100,medici
Ponte Legno,PONTE LEGNO,64,100,legno
Pordenone,PORDENONE,86,100,pordenone
Primule,PRIMULE,405,100,primule
Punta Ala,,,0,punta
Puntaldia,PUNTALDIA,129,100,puntaldia
Pustertal,PUSTERTAL,756,100,pustertal
Rapallo,RAPALLO,34,100,rapallo
Rendena,RENDENA,170,100,rendena
Rieti,,,,rieti
Rimini Verucchio,RIMINI VERUCCHIO,723,100,rimini verucchio
Riva Toscana,RIVA TOSCANA,816,100,riva toscana
Riviera Golf,RIVIERA GOLF,776,100,riviera
Robinie,ROBINIE,182,100,robinie
Roma Acquasanta,ROMA ACQUASANTA,36,100,roma acquasanta
Roncegno,,,,roncegno
Rossera,ROSSERA,698,100,rossera
Rovedine,ROVEDINE,57,100,rovedine
Rovigolf,ROVIGOLF,784,100,rovigolf
Royal Park Roveri,ROYAL PARK ROVERI,384,100,royal park
Salerno,,,,salerno
Salice Terme,SALICE TERME,672,100,salice terme
Salici 2.0,SALICI 2.0,802,100,salici
Salsomaggiore Terme,SALSOMAGGIORE TERME,762,100,salsomaggiore terme
Saluzzo,SALUZZO,706,100,saluzzo
San Domenico - Egnazia,SAN DOMENICO - EGNAZIA,785,100,egnazia
San Donato,,,38,san
San Giovanni Ssd,SAN GIOVANNI SSD,800,100,san giovanni
San Michele,,,38,san
San Valentino,SAN VALENTINO,789,100,san valentino
San Vigilio,SAN VIGILIO,441,100,san vigilio
San Vito,SAN VITO,348,100,san vito
Sanremo Ulivi,SANREMO ULIVI,37,100,ulivi
Santa Maria Maggiore,SANTA MARIA MAGGIORE,663,100,santa maria
Santo Stefano Golf,SANTO STEFANO GOLF,828,100,santo stefano
Sappada,,,,sappada
Saturnia,SATURNIA,412,100,saturnia
Serra,SERRA,22,100,serra
Sestrieres,,,,sestrieres
Sicilia'S Picciolo,,,,sicilia picciolo
St. Anna,ST. ANNA,310,100,anna
St. Vigil Seis,ST. VIGIL SEIS,655,100,seis
Stupinigi,,,,stupinigi
Tanka Villasimius,TANKA VILLASIMIUS,751,100,villasimius
Tarvisio,TARVISIO,749,100,tarvisio
Tauriana,,,,tauriana
Terre Consoli,TERRE CONSOLI,499,100,consoli
Terre Di Canossa,TERRE DI CANOSSA,839,100,terre di
Tesino,TESINO,226,100,tesino
Tirrenia,,,,tirrenia
Tolcinasco,TOLCINASCO,829,100,tolcinasco
Torino,TORINO,42,100,torino
