fig_club,gesgolf_club,circolo_id,ges_route_name,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,ges_route_status,ges_route_anomalies,protected_live,import_bucket,import_reason
Asolo,ASOLO,219,ROCCA ASOLO 70,Trofeo Rocca d&#39;Asolo 2024,fig-course-asolo-trofeo-rocca-d-asolo-2024,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,GIALLO VERDE 70,Giallo-Verde Provvisorio 2024 Par 70,fig-course-asolo-giallo-verde-provvisorio-2024-par-70,playable_course,medium,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,R-G PROVVISORIO,Rosso-Giallo Provvisorio 2025,fig-course-asolo-rosso-giallo-provvisorio-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
Asolo,ASOLO,219,R-V PROVVISORIO,Rosso-Giallo Provvisorio 2025,fig-course-asolo-rosso-giallo-provvisorio-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
Bagnaia,BAGNAIA,504,BAGNAIA,18 Buche,fig-course-bagnaia-18-buche,playable_course,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bagnaia,BAGNAIA,504,Prime nove,Prime Nove,fig-course-bagnaia-prime-nove,base_route,high,safe,,no,import_ready,all_checks_passed
Bagnaia,BAGNAIA,504,Seconde nove,Seconde Nove,fig-course-bagnaia-seconde-nove,base_route,high,safe,,no,import_ready,all_checks_passed
Barialto Golf,BARIALTO GOLF,808,perc. 1,18 Buche,fig-course-barialto-golf-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Barialto Golf,BARIALTO GOLF,808,prime 9,Prime Nove,fig-course-barialto-golf-prime-nove,base_route,low,safe,,no,needs_review,confidence_too_low
Barialto Golf,BARIALTO GOLF,808,seconde 9,Seconde Nove,fig-course-barialto-golf-seconde-nove,base_route,low,safe,,no,needs_review,confidence_too_low
Barlassina,BARLASSINA,669,Campionato,Campionato,fig-course-barlassina-campionato,playable_course,high,safe,,no,import_ready,all_checks_passed
Barlassina,BARLASSINA,669,Prime 9 buche,Prime Nove,fig-course-barlassina-prime-nove,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Barlassina,BARLASSINA,669,Seconde 9 buche,Seconde Nove,fig-course-barlassina-seconde-nove,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bellosguardo,BELLOSGUARDO,343,LEONARDO 73,Monnalisa New 2023,fig-course-bellosguardo-monnalisa-new-2023,playable_course,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,MONNALISA 37,Monnalisa New 2023,fig-course-bellosguardo-monnalisa-new-2023,playable_course,low,warning,par_total_anomaly_for_18,no,needs_review,ges_route_warning
Bellosguardo,BELLOSGUARDO,343,GIOCONDA,Monnalisa New 2023,fig-course-bellosguardo-monnalisa-new-2023,playable_course,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,MONNALISA 71,Monnalisa New 2023,fig-course-bellosguardo-monnalisa-new-2023,playable_course,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,MONNALISA 70,Monnalisa New 2023,fig-course-bellosguardo-monnalisa-new-2023,playable_course,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,Prime 9 New,Monnalisa New Prime Nove 2023,fig-course-bellosguardo-monnalisa-new-prime-nove-2023,base_route,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,PRIME 9 2023,Monnalisa New Prime Nove 2023,fig-course-bellosguardo-monnalisa-new-prime-nove-2023,base_route,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,SECONDE 9 2023,Monnalisa New Seconde Nove 2023,fig-course-bellosguardo-monnalisa-new-seconde-nove-2023,base_route,low,safe,,no,needs_review,confidence_too_low
Bellosguardo,BELLOSGUARDO,343,MONNALISA 2023,Monnalisa New 2023,fig-course-bellosguardo-monnalisa-new-2023,playable_course,low,safe,,no,needs_review,confidence_too_low
Biella Betulle,BIELLA BETULLE,6,18 buche 2018,18 buche 2018,fig-course-biella-betulle-18-buche-2018,playable_course,high,safe,,no,import_ready,all_checks_passed
Biella Betulle,BIELLA BETULLE,6,prime 9 b. 2018,prime 9,fig-course-biella-betulle-prime-9,base_route,medium,safe,,no,needs_review,confidence_too_low
Bogliaco,BOGLIACO,7,NORMALE,18 Buche,fig-course-bogliaco-18-buche,playable_course,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bogliaco,BOGLIACO,7,NORMALE Prime 9,Prime Nove,fig-course-bogliaco-prime-nove,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bogliaco,BOGLIACO,7,NORMALE Seco. 9,Seconde Nove,fig-course-bogliaco-seconde-nove,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bogogno,BOGOGNO,659,CONTE,del Conte,fig-course-bogogno-del-conte,playable_course,medium,safe,,no,needs_review,confidence_too_low
Bogogno,BOGOGNO,659,BONORA,Bonora,fig-course-bogogno-bonora,playable_course,high,safe,,no,import_ready,all_checks_passed
Bogogno,BOGOGNO,659,DEL CONTE 1-9,1&#176; Nove - Conte,fig-course-bogogno-1-176-nove-conte,base_route,low,safe,,no,needs_review,confidence_too_low
Bogogno,BOGOGNO,659,DEL CONTE 10-18,1&#176; Nove - Conte,fig-course-bogogno-1-176-nove-conte,base_route,low,safe,,no,needs_review,confidence_too_low
Bogogno,BOGOGNO,659,BONORA 1-9,1&#176; Nove - Conte,fig-course-bogogno-1-176-nove-conte,base_route,low,safe,,no,needs_review,confidence_too_low
Bogogno,BOGOGNO,659,BONORA 10-18,Prime Nove - Bonora,fig-course-bogogno-prime-nove-bonora,base_route,low,safe,,no,needs_review,confidence_too_low
Bollina,BOLLINA,840,NORMALE,18 Buche,fig-course-bollina-18-buche,playable_course,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bollina,BOLLINA,840,Percorso 9buche,9 Buche,fig-course-bollina-9-buche,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Bologna,BOLOGNA,8,1&#176; NOVE,Prime Nove,fig-course-bologna-prime-nove,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Bologna,BOLOGNA,8,PAR 71 CAMPIONA,PAR 71 CAMPIONATO,fig-course-bologna-par-71-campionato,playable_course,medium,safe,,no,needs_review,confidence_too_low
Bologna,BOLOGNA,8,sec9 buche 2019,seconde nove par 35,fig-course-bologna-seconde-nove-par-35,base_route,low,safe,,no,needs_review,confidence_too_low
Bologna,BOLOGNA,8,Par 71,par 71.,fig-course-bologna-par-71,playable_course,high,safe,,no,import_ready,all_checks_passed
Bologna,BOLOGNA,8,Par 72,18 Buche,fig-course-bologna-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Borgo Camuzzago,BORGO CAMUZZAGO,434,Camuzzago 18,18 Buche par54,fig-course-borgo-camuzzago-18-buche-par54,playable_course,low,safe,,no,needs_review,confidence_too_low
Borgo Camuzzago,BORGO CAMUZZAGO,434,Camuzzago 9,18 buche,fig-course-borgo-camuzzago-18-buche,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Borgo Camuzzago,BORGO CAMUZZAGO,434,CamuzzagoPar32,9 buche,fig-course-borgo-camuzzago-9-buche,base_route,low,safe,,no,needs_review,confidence_too_low
Borgo Camuzzago,BORGO CAMUZZAGO,434,Camuzza18Par64,18 buche,fig-course-borgo-camuzzago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Borgo Camuzzago,BORGO CAMUZZAGO,434,CamuzzaIron1,18 buche,fig-course-borgo-camuzzago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Borgo Camuzzago,BORGO CAMUZZAGO,434,CamuzzaIron2,18 buche,fig-course-borgo-camuzzago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
