fig_club,gesgolf_club,circolo_id,ges_route_name,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,ges_route_status,ges_route_anomalies,protected_live,import_bucket,import_reason
Casalunga,CASALUNGA,172,STORM 3 9b 35,9 Buche New Storm 2025,fig-course-casalunga-9-buche-new-storm-2025,base_route,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,18b.STORM 2023D,18 Buche Storm 2023 D,fig-course-casalunga-18-buche-storm-2023-d,playable_course,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,9b.STORM 2023D,9 Buche Storm 2023 D,fig-course-casalunga-9-buche-storm-2023-d,base_route,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,9b storm 2025,9 Buche New Storm 2025,fig-course-casalunga-9-buche-new-storm-2025,base_route,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,18b storm 2025,18 Buche New Storm 2025,fig-course-casalunga-18-buche-new-storm-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,18 Buche IDICE,18 Buche IDICE 2025,fig-course-casalunga-18-buche-idice-2025,playable_course,medium,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,9 Buche IDICE,9 Buche IDICE 2025,fig-course-casalunga-9-buche-idice-2025,base_route,medium,safe,,no,needs_review,confidence_too_low
Casentino,CASENTINO,85,PALAZZO,18 Buche,fig-course-casentino-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Casentino,CASENTINO,85,CASENTINO,Nove Buche,fig-course-casentino-nove-buche,base_route,low,safe,,no,needs_review,confidence_too_low
Casentino,CASENTINO,85,TINZINOSA,Tinzinosa,fig-course-casentino-tinzinosa,playable_course,high,safe,,no,import_ready,all_checks_passed
Casentino,CASENTINO,85,PANORAMA,Tinzinosa prime nove (Panorama),fig-course-casentino-tinzinosa-prime-nove-panorama,base_route,medium,safe,,no,needs_review,confidence_too_low
Casentino,CASENTINO,85,TINZINOSA 2017,Tinzinosa 2017,fig-course-casentino-tinzinosa-2017,playable_course,high,warning,many_zero_stroke_indexes,no,needs_review,ges_route_warning
Parco De' Medici,PARCO DE' MEDICI,112,W-BL,Championship Bianco/Blu,fig-course-parco-de-medici-championship-bianco-blu,combination_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,BL-R,King Blu/Rosso,fig-course-parco-de-medici-king-blu-rosso,combination_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,W-R,Queen Bianco/Rosso,fig-course-parco-de-medici-queen-bianco-rosso,combination_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,R-R,Est (Rosso x 2),fig-course-parco-de-medici-est-rosso-x-2,repeat_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,Red,9 Buche Bianco,fig-course-parco-de-medici-9-buche-bianco,playable_course,low,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,Est V-A,Blu/Bianco (Champ. Invertito),fig-course-parco-de-medici-blu-bianco-champ-invertito,alias_candidate,benchmark_manual_review,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,BL-W,Blu/Bianco (Champ. Invertito),fig-course-parco-de-medici-blu-bianco-champ-invertito,combination_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,9 Buche Bianco,9 Buche Bianco,fig-course-parco-de-medici-9-buche-bianco,base_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,9 Buche Blu,9 Buche Blu,fig-course-parco-de-medici-9-buche-blu,base_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,BIANCO X 2,9 Buche Bianco 2 Volte,fig-course-parco-de-medici-9-buche-bianco-2-volte,repeat_route,benchmark_manual,,,yes,protected_reference,protected_club
Parco De' Medici,PARCO DE' MEDICI,112,BLU X2,9 Buche Blu 2 Volte,fig-course-parco-de-medici-9-buche-blu-2-volte,repeat_route,benchmark_manual,,,yes,protected_reference,protected_club
